Date,Job,Location,Offer_Decision,Experience,Interview_Diff,Application_Text,Interview_Text,InterviewQs
"Jun 15, 2018",Senior Network Engineer Interview,Anonymous Employee in Chennai (India),Accepted Offer,Positive Experience,Average Interview,I applied online. I interviewed at Ford Motor Company (Chennai (India)) in May 2016.,"It was very professional and great experience.
it had 2 rounds, one is telephonic and 1:1.
telephonic is little tough and about more into technical
face-to-face is more into personality & managing skill type.",Related to my last company role $ responsibilities and current role JB mentioned questions Â  Answer Question
"Jun 12, 2018",Financial Analyst Interview,Anonymous Interview Candidate,No Offer,Positive Experience,Average Interview,I applied through college or university. I interviewed at Ford Motor Company.,"They gave you a case study regarding whether to relocate their production factory into another country. You had to write a brief paper on it. The interview was only 30 minutes, 15 minutes-behavioral, 15 minutes-technical (just the business case scenario).",Why Ford? Â  Answer Question
"Jun 12, 2018",Operator Interview,Anonymous Employee,Accepted Offer,Positive Experience,Difficult Interview,I applied through an employee referral. The process took 2+ months. I interviewed at Ford Motor Company.,U are invited to take a test for 8 hours. The test is hard and long. After the test I wait for about a month to be called for the âoffer letterâ. After that u are sent for a drug screen,No questions Â  Answer Question
"Jun 4, 2018",Ford College Graduate Interview,Anonymous Employee in Thanjavur (India),Accepted Offer,Positive Experience,Average Interview,I applied through college or university. The process took 1 day. I interviewed at Ford Motor Company (Thanjavur (India)) in October 2014.,"I was campus recruited as Ford College Graduate(FCG) into FORD IT from SASTRA University in my Btech CSE final year, It had 3 rounds, written test, technical interview and HR interview. All of them on same day and each round was elimination round.",More on technical side Â  Answer Question
"Jun 4, 2018",PD Engineer Interview,Anonymous Employee in Ciudad de MÃ©xico (Mexico),Accepted Offer,Positive Experience,Average Interview,I applied in-person. I interviewed at Ford Motor Company (Ciudad de MÃ©xico (Mexico)) in January 2014.,"Easy to be Hired. HR interview by phone, then a personal interview with a Manager (technical and experience questions). Medical exam and hired. This is all I remember of the process",Technical questions only. Â  Answer Question
"Jun 1, 2018",Research Engineer Interview,Anonymous Interview Candidate,No Offer,Positive Experience,Average Interview,"After Ford online assessments, there was a phone screening interview with hr manager. The screening interview was not difficult and the questions are about the contents in my resume and applications.",,I was asked about maximum travel percentage. Â  Answer Question
"May 31, 2018",Software Engineer Interview,"Anonymous Interview Candidate in New York, NY",No Offer,Negative Experience,Easy Interview,"I applied online. The process took 4+ weeks. I interviewed at Ford Motor Company (New York, NY) in March 2018.",This was a hackerrank coding interview. I cleared it and was asked to come for an onsite interview after an HR interview. They booked my flight tickets. But at the very last moment they cancelled it saying there was a last hour change and they have limited slots. The HR also told me that he'll get back to me for other interviews but this role was off limits. I have been emailing the HR since but got no reply till date.,
"May 30, 2018",Software Engineer Interview,Anonymous Employee,Accepted Offer,Positive Experience,Average Interview,I applied through college or university. I interviewed at Ford Motor Company.,Hiring process is very smooth and transparent. Salary are offered generally 150% higher than market. Interviewer make you comfortable before starting. The questions can be of moderate difficulty level. Generally they focus on basic concepts and flexibility to learn new technologies.,Application Flow Â  Answer Question
"May 29, 2018",Product Engineer Interview,"Anonymous Employee in Dearborn, MI",Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 5 days. I interviewed at Ford Motor Company (Dearborn, MI) in June 2016.",Got a request for phone screen. Call was with hiring manager. lasted for 45 minutes. Used STAR methodology questions. Patiently listened to my answers and gave on the spot feedback for each.,Describe a situation where you were challenged and emerged successful. Â  1 Answer
"May 29, 2018",HR Business Partner Interview,"Anonymous Employee in Dearborn, MI",Accepted Offer,Positive Experience,Difficult Interview,"I applied through a staffing agency. The process took 4 weeks. I interviewed at Ford Motor Company (Dearborn, MI) in February 2014.",the interview was challenging and intense. 3 panel interview with multiple senior management. Be prepared for situational questions. hiring process is long to make a final decision. Willing to negotiate final offer,Describe project with challenges Â  Answer Question
"May 29, 2018",Undergraduate Summer Placement Interview,"Anonymous Interview Candidate in Glasgow, Scotland (UK)",No Offer,Positive Experience,Average Interview,"I applied online. The process took 2 weeks. I interviewed at Ford Motor Company (Glasgow, Scotland (UK)) in March 2018.",Submitted an online application and was emailed back shortly after for a telephone interview. I researched a fair bit about the role and the company history but wasn't prepared well for the competency based questions. I spent too long trying to think of an answer and what I said wasn't substantial enough so I wasn't surprised to not receive an offer.,Tell me about a time where you influenced someone's opinion Â  Answer Question
"May 22, 2018",Embedded Software Engineer Interview,Anonymous Interview Candidate,No Offer,Negative Experience,,I applied online. I interviewed at Ford Motor Company.,"I passed the WBA first, applied to this job, got an email from the hiring manager asking me what time suits me for a phone call interview. They didnt confirm .","Exactly while i was waiting for the phone call at the time I specified, I got a rejection email. Guess they changed their mind. Quite unprofessional tho. Â  Answer Question"
"May 21, 2018",Buyer Interview,Anonymous Employee in Chennai (India),Accepted Offer,Positive Experience,,I applied through college or university. The process took 1 day. I interviewed at Ford Motor Company (Chennai (India)).,"The rounds which would test your aptitude skills and business communication skills were conducted, After shortlisting, Group discussion tested our team building as well as team managing skills. Post that one technical and one HR interview was conducted.",how do you make work life balance Â  Answer Question
"May 17, 2018",Marketing Coordinator Interview,Anonymous Interview Candidate,No Offer,Neutral Experience,Average Interview,I applied online. I interviewed at Ford Motor Company.,"The interview was a multiple stage process, first beginning with a phone call screening and then an individual interview followed by a company overview interview with a few hiring managers",Q: Where do you see yourself in 5 years? Â  Answer Question
"May 16, 2018",Sales Interview,Anonymous Employee,Accepted Offer,Positive Experience,Easy Interview,I applied online. The process took a week. I interviewed at Ford Motor Company.,came in for a one on one interview. straight forward and got to the point about what needs to be done and how we are going to accomplish it. then the 2nd round of interviews,tell me about your experiences Â  1 Answer
"May 9, 2018",Thermal Engineer Interview,"Anonymous Interview Candidate in Detroit, MI",No Offer,Neutral Experience,Average Interview,"I applied in-person. The process took 2 weeks. I interviewed at Ford Motor Company (Detroit, MI) in October 2017.","got in through an employee referral, got a phone call to schedule onsite interview within a week time. HR contacted to fill in additional application . There were 3 interviewers all 3 from different technical groups",STAR based behavioral questions and some direct technical questions related to position. Â  Answer Question
"Apr 30, 2018",Summer Interview,"Anonymous Interview Candidate in Detroit, MI",No Offer,Positive Experience,Average Interview,"I applied through college or university. The process took 2 days. I interviewed at Ford Motor Company (Detroit, MI) in March 2017.","For the first day, there was a dinner. And for the second day, person to person interview first, and then a group meeting. The whole process ends with a tour.",
"Apr 24, 2018",R&D Interview,"Anonymous Interview Candidate in Saint Louis, MO",No Offer,Positive Experience,Average Interview,"I applied through an employee referral. The process took 2+ months. I interviewed at Ford Motor Company (Saint Louis, MO) in October 2017.","The interview was over the phone with two Ford employees. It started off with me telling them about myself and then continued with a series of behavioral questions. At the end of the interview they said they would be in touch with the next steps, but I was never contacted again so I just assumed I was not being offered the job.","If you were asked to present to a group of clients who all had conflicting opinions on the project, what things would you do and what tools would you use to give an effective presentation that appealed to all the clients? Â  Answer Question"
"Apr 20, 2018",Becario Interview,Anonymous Interview Candidate in Ciudad de MÃ©xico (Mexico),No Offer,Positive Experience,Average Interview,I applied through a staffing agency. The process took a week. I interviewed at Ford Motor Company (Ciudad de MÃ©xico (Mexico)).,En la entrevista los trabajadores fueron muy atentos y gentiles. En todo momento resolvieron dudas y explicaron con detalle los procesos por los que se tenÃ­an pasar.,
"Apr 16, 2018",IT Interview,Anonymous Interview Candidate,No Offer,Negative Experience,Average Interview,I applied online. I interviewed at Ford Motor Company.,Had a Phonecall Interview the women was very blunt and I assume the questions are the same for everyone and not specific to each person. I would do your research on the company itself as that's mainly what they ask and no personal questions.,What do Ford do? Â  2 Answers
"Apr 10, 2018",Corporate Finance Analyst Interview,Anonymous Interview Candidate,No Offer,Positive Experience,Average Interview,I applied online. The process took 2+ months. I interviewed at Ford Motor Company in September 2017.,"Multi-step, requires filling out forms and taking a test. There are also a few in-person interviews that are required. Preparation is key for success. Ask questions and be open and honest. Honesty is highly valued.",Why did you apply to Ford? Â  Answer Question
"Apr 10, 2018",Intern - Hourly Interview,"Anonymous Employee in Claycomo, MO",Accepted Offer,Positive Experience,Average Interview,"I applied through college or university. The process took 4 weeks. I interviewed at Ford Motor Company (Claycomo, MO).","Phone Interview with about 6 people asking questions.
Then about a few days later I heard I would get an offer.
Got offer, had to do background check and pee test.
Then started at co-op three weeks later.",What would you do if there was an emergency and you didn't know what to do? Â  Answer Question
"Apr 4, 2018",Labor Communications Coordinator Interview,"Anonymous Interview Candidate in Detroit, MI",No Offer,Positive Experience,Average Interview,"I applied online. The process took 7 weeks. I interviewed at Ford Motor Company (Detroit, MI) in April 2018.","This interview was the first phone interview in the hiring process. Upon completion, the recruiter I was speaking with said to expect to wait two weeks for a follow-up call.",How proficient are you with Microsoft Office Suite? Â  1 Answer
"Mar 31, 2018",Product Development Interview,Anonymous Employee,Accepted Offer,Positive Experience,Easy Interview,I applied online. I interviewed at Ford Motor Company in January 2018.,First round is an online web assessment and second round is a two person interview. Overall the recruiters were very friendly and this was one of the better interview processes I have gone through.,All behavorial. Â  Answer Question
"Mar 28, 2018",II Month Business Placement Smart Mobility Interview,"Anonymous Interview Candidate in London, England (UK)",No Offer,Positive Experience,Average Interview,"I applied online. The process took 5 days. I interviewed at Ford Motor Company (London, England (UK)) in February 2018.","After long stage of filling the application form (mainly contained competency and motivational-based questions, I have been invited to complete telephone interview. Mostly, typical competency-based questions have been asked. This initial process was very fast.",Tell us about the structure of Ford Â  Answer Question
"Mar 27, 2018",EstagiÃ¡rio Interview,Anonymous Employee in SÃ£o Bernardo do Campo (Brazil),Accepted Offer,Positive Experience,Average Interview,I applied online. The process took 2 weeks. I interviewed at Ford Motor Company (SÃ£o Bernardo do Campo (Brazil)).,"foi muito legal. perguntas interessantes e fora do contexto organizacional, para me conhecer mais a fundo sobre minhas habilidades e comportamentos interpessoais.",o que eu poderei contribuir com inovaÃ§Ã£o Â  1 Answer
"Mar 26, 2018",Intern Interview,"Anonymous Interview Candidate in Ann Arbor, MI",No Offer,Neutral Experience,Average Interview,"I applied through college or university. The process took 1 day. I interviewed at Ford Motor Company (Ann Arbor, MI) in September 2016.","HR questions: basically they asked exactly the same questions you can find online. I thought I did my best, but never heard back from them again. The first question was ""do you need to sponsorship for working visa?"" Even though this is an intern position, they might be seeking for someone who can return to work for the company.","If you found out your colleague cheated, what would your do Â  Answer Question"
"Mar 24, 2018",ESTÃGIO Interview,Anonymous Employee in SÃ£o Bernardo do Campo (Brazil),Accepted Offer,Positive Experience,Average Interview,I applied through a recruiter. The process took 2+ months. I interviewed at Ford Motor Company (SÃ£o Bernardo do Campo (Brazil)).,"Processo fÃ¡cil, dinÃ¢mica de grupo tranquila, prova de raciocÃ­nio lÃ³gico nÃ­vel mÃ©dio e prova de inglÃªs difÃ­cil. Processo muito bem feito e justo. Na dinÃ¢mica era pra apresentar sobre o futuro da mobilidade e da indÃºstria automotiva. ApresentaÃ§Ã£o pessoal, tambÃ©m fÃ¡cil.",Futuro da mobilidade e da indÃºstria automotiva. Â  Answer Question
"Mar 24, 2018",Masterand Interview,Anonymous Employee in Cologne (Germany),Accepted Offer,Positive Experience,Average Interview,I applied online. The process took 4 weeks. I interviewed at Ford Motor Company (Cologne (Germany)).,"Sehr strukturiertes VorstellungsgesprÃ¤ch. Aufbauend auf einem vorgegebenenem Fragebogen wurden fach- oder aufgabenspezifisch Fragen aus dem Fachbereich hinzugefÃ¼gt. Man erkennt relativ schnell ob man fÃ¼r diese stelle geeignet ist, da man den Leuten bei der Bewertung der Antworten auf die Finger sieht. Das kann verunsichern oder zeigen wann man droht in die falsche Richtung abzuschweifen. Das BewerbungsgesprÃ¤ch wurde zum Teil auf Englisch gefÃ¼hrt.",Beschreiben sie eine Stresssitation. Wie sind sie mit dieser umgegangen? Â  Answer Question
"Mar 23, 2018",Supplier Quality Engineer Interview,Anonymous Employee,Accepted Offer,Neutral Experience,Average Interview,I applied through other source. I interviewed at Ford Motor Company in August 2016.,"Average / General questions on the background and previous work experience in the area of work. Potential for future travel. There was no assurance provided about not needing travel in the future, long term out of state stay possible.",Why do you want to work in this role? Â  Answer Question
"Mar 19, 2018",Team Member Interview,Anonymous Employee in Chennai (India),Accepted Offer,Positive Experience,Average Interview,I applied through college or university. I interviewed at Ford Motor Company (Chennai (India)) in April 2014.,"Campus interview & there were rounds like written, GD & Final interview
Written test",personal life questions & why you want to be part of ford Â  Answer Question
"Mar 18, 2018",Data Scientist Interview,"Anonymous Interview Candidate in Ann Arbor, MI",Declined Offer,Positive Experience,Average Interview,"I applied through college or university. The process took 4+ weeks. I interviewed at Ford Motor Company (Ann Arbor, MI) in October 2016.",Two back and back interviews with one manager and one director in the team. They asked some behavior questions and went over my resume. They asked me to tell them a little bit more about my experience and how I can resolve some data questions.,Tell me about your yourself. Why you chose Ford Â  Answer Question
"Mar 17, 2018",Vendedor Interview,Anonymous Interview Candidate in Aracaju (Brazil),No Offer,Positive Experience,Average Interview,I applied through an employee referral. The process took 1 day. I interviewed at Ford Motor Company (Aracaju (Brazil)).,"Mto bem feito, legal, mto bem informado, sem nenhuma reclamaÃ§Ã£o. Tudo certo mesmo, agora sÃ³ esperar com fÃ© em Deus vai da certo. Aguardar a ligaÃ§Ã£o.",
"Mar 15, 2018",EstagiÃ¡rio Interview,Anonymous Employee in SÃ£o Bernardo do Campo (Brazil),Accepted Offer,Positive Experience,Average Interview,I applied through a staffing agency. The process took 1 day. I interviewed at Ford Motor Company (SÃ£o Bernardo do Campo (Brazil)).,"O processo seletivo foi em grupo e passaram dinÃ¢mica para que fossem feitos, avaliando a comunicaÃ§Ã£o e a proatividade dos candidato.",Porque vocÃª que fazer parte desta empresa? Â  1 Answer
"Mar 12, 2018",IT Interview,Anonymous Employee,Accepted Offer,Positive Experience,Easy Interview,I applied through a recruiter. The process took 4+ weeks. I interviewed at Ford Motor Company.,"Consisted of talking to the recruiter at the career fair and a phone interview, once accepted I had to take a drug test about 2 months before I started working.",Why you wanted to work at ford? Â  1 Answer
"Mar 9, 2018",Finance Interview,Anonymous Interview Candidate,No Offer,Positive Experience,Average Interview,I applied in-person. I interviewed at Ford Motor Company.,"Went from the career fair and applying online to an on-campus interview.
The interview included a behavioral portion as well as a simple case.
The case was given beforehand to prepare and to discuss during the interview.",case given before coming to interview Â  Answer Question
"Mar 8, 2018",Mobile Applications Developer Interview,"Anonymous Interview Candidate in Dallas, TX",No Offer,Neutral Experience,Easy Interview,"I applied online. The process took 1+ week. I interviewed at Ford Motor Company (Dallas, TX) in January 2018.",Applied online. Got an assessment link which should be completed in a week. Itâs verbal and numerical with a personality one also. Need to complete this even before your resume is considered. Did not hear back.,Math questions based on graphs Â  Answer Question
"Mar 8, 2018",Design Engineer Interview,"Anonymous Employee in Boston, MA",Accepted Offer,Positive Experience,Average Interview,"I applied through a recruiter. The process took 2 weeks. I interviewed at Ford Motor Company (Boston, MA) in April 2016.",There was a pre-screening before the interview was offered through the recruiter. Then had to complete an online assessment after which a one on one interview was offered the next day.,Tell us about a time where you had to make a difficult decision. Â  Answer Question
"Mar 7, 2018",Zone Manager Interview,"Anonymous Interview Candidate in Saline, MI",No Offer,Neutral Experience,Difficult Interview,"I applied online. The process took 2+ weeks. I interviewed at Ford Motor Company (Saline, MI) in March 2018.","Initial Phone Screening followed by a formal day interview if Phone portion went well. At the Talent Center you will do a 30 minute role play doing some things the job would require you to do on a daily basis, you first study a packet for a half hour then it begins.

You will also be interviewed by a panel team with the more generic formal questions. Around 10-15 questions that are relatively long and require some preparation.

Optional tour of factory to follow.",Tell us about a time you took a risk and how it turned out Â  Answer Question
"Mar 7, 2018",Analyst Interview,Anonymous Employee in Chennai (India),Accepted Offer,Positive Experience,Average Interview,I applied through college or university. The process took 2+ months. I interviewed at Ford Motor Company (Chennai (India)) in February 2014.,"3 rounds of interview. Aptitude test, GD and personal interview. Aptitude and GD organised at SRM university and final interview at their office at RMZ. Managers take interview based on the skill set, communication skills, Subject knowledge, confidence level, ability to handle pressure etc",What do you know about ford motor company Â  1 Answer
"Mar 6, 2018",Financial Analyst Interview,Anonymous Interview Candidate,Declined Offer,Positive Experience,Average Interview,I applied through college or university. The process took 3 weeks. I interviewed at Ford Motor Company in November 2016.,Case document was provided well in advance and interviewer was helpful even when I was nervous and didn't immediately have answers to her follow-up questions about the case. I followed up afterwards with questions about the role and she was quick to respond.,How do you see financial analysts contributing to Ford's goals? Â  Answer Question
"Mar 1, 2018",Product Engineer Interview,"Anonymous Employee in Livonia, MI",Accepted Offer,Neutral Experience,Easy Interview,"I applied through an employee referral. The process took 2 weeks. I interviewed at Ford Motor Company (Livonia, MI) in September 2015.","Applied through contracting agency,
Recruiter send email for in person interview with practice materials
The email mentioned date and time, venue was the Work site lobby
Interview was conducted by Supervisor and technical specialist
30 minutes long, Mostly personality based with resume and previous exp questions","Q. Strengths/Weakness
Q. Challenging work
Q. Biggest achievement
Q. Resume based
Q. Previous Experience Â  Answer Question"
"Feb 28, 2018",Smart Mobility Placement Interview,"Anonymous Interview Candidate in London, England (UK)",No Offer,Neutral Experience,Average Interview,"The process took 3+ weeks. I interviewed at Ford Motor Company (London, England (UK)).","Applied online. I had to answer 4 competency questions in the application. 3 weeks later received invitation for a phone interview. Once you pass that. Youâll be asked to complete a numerical test and if successful a logical reasoning test afterwards. Once you pass all 4 stages mentioned, you will be shortlisted for an assessment centre.",Why do you want this role? Â  Answer Question
"Feb 28, 2018",Zone Manager Interview,Anonymous Interview Candidate,No Offer,Neutral Experience,Average Interview,I applied online. The process took 4 weeks. I interviewed at Ford Motor Company.,Took 30 minutes to ask behavioral questions as well as talk about the role. Was given a balance sheet before the interview and was told to keep it until the interview.,Why Ford? Â  Answer Question
"Feb 26, 2018",Internship Interview,"Anonymous Interview Candidate in San Jose, CA",No Offer,Negative Experience,Average Interview,"I applied through college or university. The process took a week. I interviewed at Ford Motor Company (San Jose, CA) in March 2016.","Came on site for an in-person interview with a project manager. They took you inside, walked you around the project areas and talked about the different teams. Then given an online assessment and behavioral test.",How do you Majors apply to this role? Â  Answer Question
"Feb 25, 2018",EstagiÃ¡rio Interview,Anonymous Employee in SÃ£o Bernardo do Campo (Brazil),Accepted Offer,Positive Experience,Average Interview,I applied online. The process took 3 weeks. I interviewed at Ford Motor Company (SÃ£o Bernardo do Campo (Brazil)).,"Apesar do processo ter sido feito em diversas etapas, como dinÃ¢micas em grupo, provas, atÃ© a entrevista pessoal com o supervisor da Ã¡rea que foi designado, Ã© um processo bastante rÃ¡pido e me deram um retorno muito rÃ¡pido tambÃ©m.",O que vocÃª quer para seu futuro? Â  1 Answer
"Feb 21, 2018",Smart Mobility Interview,"Anonymous Interview Candidate in London, England (UK)",Declined Offer,Positive Experience,Average Interview,"I applied online. I interviewed at Ford Motor Company (London, England (UK)) in February 2018.","Applied online with CV, answered a few questions online then got a telephone interview, the telephone interview was relaxed and only took ten minutes, i was allowed time to prepare my answers before and during the interview","Leadership skills, teamwork, focus based and customer focus Â  1 Answer"
"Feb 20, 2018",Assembly Line Worker Interview,Anonymous Employee,Accepted Offer,Negative Experience,Easy Interview,They bring you in for a math and English exam at the union Hall then if you pass you have to do a physical test (not a medical physical). No formal interview.,,
"Feb 14, 2018",Finance Interview,"Anonymous Interview Candidate in Urbana, IL",No Offer,Negative Experience,Difficult Interview,"I applied online. The process took 4 weeks. I interviewed at Ford Motor Company (Urbana, IL) in January 2018.",I had a 1-hour interview and before I was required to submit a financial analysis report. The report had me analyze a business case and submit recommendations for solutions. I was then required to present my recommendations/ solutions during the interview. It was your regular finance interview.,explain your resume Â  Answer Question
"Feb 10, 2018",Graduate Software Engineer Interview,Anonymous Interview Candidate,No Offer,Positive Experience,Easy Interview,I applied online. I interviewed at Ford Motor Company in February 2018.,Did an online form. Then I telephone interview (roughly 15 mins long) all the questions I were asked I found on Glassdoor so it's very easy just to prepare your answers beforehand.,"These were the following questions they asked for the telephone interview and I was told they should be answered using the STAR (Situation, Task, Action, Result) technique :

1. Knowledge of Ford: What was your motivation to apply for the role and what research have you done into Ford in the automotive industry?

2. Working effectively with others: Give an example when you have persuaded someone to change their course of actionâ¦Â  from what they originally intended. (What have you done to persuade them and how you changed their mind).

3. Resilience: Tell me about a time when you had to persevere with a task despite a setback.

4. Delivering results and being customer focused: Give an example when you had responsibilities to deliver some work to a customer (make sure to give an example of what you did to meet the customer's requirements). Â  Answer QuestionShow More"
"Feb 8, 2018",Machine Learning Algorithm Interview,Anonymous Interview Candidate,No Offer,Negative Experience,Easy Interview,I applied online. I interviewed at Ford Motor Company.,"The online assessment has three parts: basic math, behavior assessment, and verbal reasoning. The questions are all pretty easy and straightforward. There is nothing related to coding and algorithm. All very basic high-school level math problems. But I didnât pass.",The math and verbal parts have pretty short time limit. Â  1 Answer
"Feb 7, 2018",EstagiÃ¡rio Superior Interview,"Anonymous Interview Candidate in CamaÃ§ari, Bahia (Brazil)",No Offer,Neutral Experience,Difficult Interview,"I applied online. The process took 2+ weeks. I interviewed at Ford Motor Company (CamaÃ§ari, Bahia (Brazil)).","O processo seletivo foi bastante dinÃ¢mico, com diversas atividades com o intuito de avaliar a capacidade de trabalho em grupo e individual de cada participante.",Por que vocÃª quer trabalhar na Ford? Â  1 Answer
"Feb 3, 2018",Ingeniero De Producto Interview,"Anonymous Employee in CuautitlÃ¡n, MÃ©xico (Mexico)",Accepted Offer,Positive Experience,Average Interview,"I applied through a recruiter. I interviewed at Ford Motor Company (CuautitlÃ¡n, MÃ©xico (Mexico)).","Es bueno, pero hay informacion donde no proveen detalles. La entrevista con el supervisor fue sobre conocimientos tÃ©cnicos. Se hace una parte de la entrevista en inglÃ©s.",En donde tiene Ford oficinas/plantas? Â  1 Answer
"Jan 31, 2018",Product Development Engineer Interview,"Anonymous Interview Candidate in Dearborn, MI",Declined Offer,Positive Experience,Average Interview,"I applied through college or university. The process took 3 weeks. I interviewed at Ford Motor Company (Dearborn, MI) in March 2016.","I submitted a resume via an online portal at school. Company called for an initial phone screening, followed with on-campus interview with 2 interviewers, on-site interview consisting of a 3-person panel.",Tell us about an innovative solution that you have made to a difficult problem Â  Answer Question
"Jan 28, 2018",Data Scientist Interview,"Anonymous Employee in Dearborn, MI",Accepted Offer,Positive Experience,Average Interview,"I applied through an employee referral. The process took 1+ week. I interviewed at Ford Motor Company (Dearborn, MI) in April 2015.","Phone interview with rapid fire SQL questions. Technical like what is a foreign key, what is a transaction. Other simple questions from your resume about your experience. They were interested in data visualization tools.",What is a transaction Â  Answer Question
"Jan 28, 2018",Research Engineer Interview,"Anonymous Employee in Dearborn, MI",Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 4+ weeks. I interviewed at Ford Motor Company (Dearborn, MI) in August 2016.","I applied online and about two weeks later I got an email asking for a phone screen. I talked to a HR and it was all about basic personal information. Then around three weeks later I flew to Dearborn, MI to have an onsite interview. Five technical questions and five behavioral questions. All technical questions were job related. I think those behavioral questions are pretty similar for every candidate.",What risk did you take and prons and cons? Â  1 Answer
"Jan 27, 2018",Ford College Graduate Interview,Anonymous Employee in Vellore (India),Accepted Offer,Positive Experience,Average Interview,I applied through college or university. The process took 1 day. I interviewed at Ford Motor Company (Vellore (India)) in October 2014.,I was hired for software Team. Got recruited from campus. Some behavioral questions along with basic technical questions on software and your projects and your background. Be confident and know the basics of your course.,How does ATM machine work? Â  Answer Question
"Jan 27, 2018",Entry Level Financial Analyst Interview,Anonymous Interview Candidate,No Offer,Neutral Experience,Average Interview,I applied online. I interviewed at Ford Motor Company.,"There is an initial form/ questionnaire to fill out. The next step is to complete a math ""test"". There is a time limit and a certain score needed to advance. Then you wait to hear back about further interviews.",Why do you want to work at Ford? Â  Answer Question
"Jan 24, 2018",Research and Development Interview,"Anonymous Interview Candidate in Austin, TX",No Offer,Neutral Experience,Average Interview,"I applied through college or university. I interviewed at Ford Motor Company (Austin, TX) in October 2017.","Applied through school website, had to do an IQ and written test then got an on campus interview within a couple weeks. The interview was about an hour with two product development managers.",What can you contribute to Ford Â  1 Answer
"Jan 24, 2018",Engineer Interview,Anonymous Employee in Chennai (India),Accepted Offer,Neutral Experience,Average Interview,I applied through an employee referral. The process took 5 days. I interviewed at Ford Motor Company (Chennai (India)) in February 2014.,Not a very tough one. I was able to make it easily 5 years back into the system.,Describe yourself. Â  Answer Question
"Jan 22, 2018",EstagiÃ¡rio Superior Interview,Anonymous Employee in Brusque (Brazil),Accepted Offer,Positive Experience,Easy Interview,I applied online. The process took 3 days. I interviewed at Ford Motor Company (Brusque (Brazil)).,"Conversa super tranquila, fiz alguns teste escritos. Apesar de estÃ¡ muito concorrido deu tudo certo, fui prÃ© selecionada e passei em todas etapas.",Quem Ã© vocÃª? Porque gostaria de trabalhar com a gente? Â  1 Answer
"Jan 18, 2018",HR Generalist Interview,"Anonymous Interview Candidate in Chicago, IL",Declined Offer,Positive Experience,Difficult Interview,"I applied online. The process took 5 weeks. I interviewed at Ford Motor Company (Chicago, IL) in December 2017.",I had a phone screen and then an in person interview. The in person interview was pretty intense. Asked over an hours worth of questions as I sat before a panel.,Tell me about a time where you were under a strict deadline with several priorities thrown at you and how did you handle it? Â  1 Answer
"Jan 15, 2018",EstagiÃ¡rio Interview,Anonymous Interview Candidate in SÃ£o Bernardo do Campo (Brazil),No Offer,Neutral Experience,Difficult Interview,I applied online. The process took 2+ months. I interviewed at Ford Motor Company (SÃ£o Bernardo do Campo (Brazil)).,"O processo todo em si foi bom, porÃ©m o que me deixou chateado foi a forma como eles deram o feedback negativo. Sem dizer nem ao menos um porque.",Como vocÃª daria um feedback negativo da entrevista para vocÃª mesmo? Â  1 Answer
"Jan 14, 2018",Ford Research Graduate Interview,Anonymous Employee in Chennai (India),Accepted Offer,Positive Experience,Average Interview,I applied through college or university. The process took 3 days. I interviewed at Ford Motor Company (Chennai (India)) in September 2017.,I had online interview. Started with introducing myself. They asked me mostly around critical thinking and decision skills in hard times. And some my btech mini-projects are covered. And why did i choose ford.,What will you do if your teammate and you are in different directions in projects Â  Answer Question
"Jan 12, 2018",Graduate IT Interview,"Anonymous Employee in London, England (UK)",Accepted Offer,Positive Experience,Easy Interview,"I applied through college or university. The process took 2 weeks. I interviewed at Ford Motor Company (London, England (UK)) in January 2017.","Interviewer made me feel comfortable before it begins. She explained how the process was going to be, what will happen if I progress to the next stage and what I'll have to do.",Tell me a fact you know about Ford Â  Answer Question
"Jan 12, 2018",Workstudy Interview,"Anonymous Employee in Dearborn, MI",Accepted Offer,Positive Experience,Difficult Interview,"I applied through an employee referral. I interviewed at Ford Motor Company (Dearborn, MI) in July 2017.","Formal, interactive, friendly. About an hour and a half and 12 questions long. Lunch provided and a tour if wanted. Overall a good interview process, 3 people on the panel, 4 questions each and they do not judge how you answer. They takes notes as soon as you start speaking.",What do you do if someone is not complying in the work place Â  1 Answer
"Jan 11, 2018",Engineering Interview,"Anonymous Interview Candidate in South Bend, IN",No Offer,Positive Experience,Easy Interview,"I applied through college or university. The process took 3 weeks. I interviewed at Ford Motor Company (South Bend, IN).","The interview was conducted at my university. Lasted about 30 minutes; all behavioral questions, no technical. They want to know about project and leadership etc. In all, fairly easy interview, just make sure to come prepared to talk about your experience and leadership.",Describe a time when you have taken leadership of a project or assignment. Â  Answer Question
"Jan 11, 2018",Sales Interview,Anonymous Interview Candidate,Declined Offer,Positive Experience,Easy Interview,I applied online. The process took 1 day. I interviewed at Ford Motor Company in February 2017.,"The interview was short and to the point. I was interested in joining Ford as a Sales representative and during the call I was offered the position immediately. I thought this was odd, but I am assuming I met with a manager or HR represenative.",Why do you want to work for Ford? Â  Answer Question
